timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654352105573,144,2MB,1,1,39,1,0
1654352106127,80,500KB,2,2,34,1,0
1654352106727,52,500KB,3,3,19,1,0
1654352107326,266,4MB,4,4,33,1,0
1654352107521,116,4MB,4,4,13,1,0
1654352107926,92,2MB,5,5,19,1,0
1654352108131,57,2MB,5,5,7,1,0
1654352108525,91,2MB,6,6,12,1,0
1654352108725,67,2MB,6,6,8,1,0
1654352109127,130,4MB,7,7,20,1,0
1654352109327,49,2MB,7,7,5,1,0
1654352109526,30,500KB,7,7,9,1,0
1654352109725,92,2MB,8,8,13,1,0
1654352109930,19,500KB,8,8,5,1,0
1654352110132,116,4MB,8,8,11,1,0
1654352110326,51,2MB,9,9,6,1,0
1654352110529,84,1MB,9,9,24,1,0
1654352110730,41,1MB,9,9,9,1,0
1654352110927,56,2MB,10,10,8,1,0
1654352111127,32,500KB,10,10,10,1,0
1654352111330,45,500KB,10,10,17,1,0
1654352111525,79,1MB,11,11,11,1,0
1654352111526,139,4MB,11,11,19,1,0
1654352111729,29,1MB,11,11,5,1,0
1654352111930,93,4MB,11,11,6,1,0
1654352112129,45,1MB,12,12,8,1,0
1654352112125,113,4MB,12,12,7,1,0
1654352112330,93,4MB,12,12,6,1,0
1654352112526,24,500KB,12,12,8,1,0
1654352112725,86,1MB,13,13,28,1,0
1654352112726,141,4MB,13,13,16,1,0
1654352112930,27,1MB,13,13,4,1,0
1654352113129,80,2MB,13,13,10,1,0
1654352113325,40,500KB,14,14,11,1,0
1654352113329,52,1MB,14,14,14,1,0
1654352113526,50,500KB,14,14,14,1,0
1654352113526,85,2MB,14,14,16,1,0
1654352113729,30,500KB,14,14,9,1,0
1654352113925,77,1MB,15,15,11,1,0
1654352113921,103,2MB,15,15,17,1,0
1654352114131,50,1MB,15,15,9,1,0
1654352114130,68,2MB,15,15,6,1,0
1654352114328,30,500KB,15,15,9,1,0
1654352114525,118,2MB,16,16,29,1,0
1654352114529,149,4MB,16,16,11,1,0
1654352114726,69,2MB,16,16,5,1,0
1654352114729,108,4MB,16,16,6,1,0
1654352114930,18,500KB,16,16,5,1,0
1654352115125,80,1MB,17,17,16,1,0
1654352115126,81,1MB,17,17,21,1,0
1654352115325,46,500KB,17,17,9,1,0
1654352115325,119,4MB,17,17,19,1,0
1654352115527,47,1MB,17,17,6,1,0
1654352115527,65,2MB,17,17,6,1,0
1654352115728,90,2MB,18,18,13,1,0
1654352115729,129,4MB,18,18,7,1,0
1654352115926,37,1MB,18,18,4,1,0
1654352115928,37,1MB,18,18,6,1,0
1654352116130,43,500KB,18,18,10,1,0
1654352116131,118,4MB,18,18,14,1,0
1654352116328,43,1MB,19,19,5,1,0
1654352116327,105,4MB,19,19,8,1,0
1654352116525,30,500KB,19,19,6,1,0
1654352116528,38,1MB,19,19,7,1,0
1654352116731,68,1MB,19,19,17,1,0
1654352116729,88,2MB,19,19,15,1,0
1654352116924,131,4MB,20,20,5,1,0
1654352116926,130,4MB,20,20,6,1,0
1654352117127,83,2MB,20,20,6,1,0
1654352117125,123,4MB,20,20,6,1,0
1654352117330,42,1MB,20,20,5,1,0
1654352117330,62,2MB,20,20,8,1,0
1654352117526,73,1MB,21,21,18,1,0
1654352117523,163,4MB,21,21,7,1,0
1654352117525,166,4MB,21,21,18,1,0
1654352117729,22,500KB,21,21,5,1,0
1654352117729,23,500KB,21,21,8,1,0
1654352117928,103,2MB,21,21,15,1,0
1654352117926,141,4MB,21,21,12,1,0
1654352118129,36,500KB,22,22,9,1,0
1654352118128,56,1MB,22,22,13,1,0
1654352118124,75,2MB,22,22,7,1,0
1654352118331,39,500KB,22,22,6,1,0
1654352118330,109,4MB,22,22,12,1,0
1654352118529,30,500KB,22,22,9,1,0
1654352118528,60,2MB,22,22,7,1,0
1654352118724,42,500KB,23,23,10,1,0
