timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654352428832,101,1MB,1,1,43,1,0
1654352429392,66,1MB,2,2,19,1,0
1654352429990,229,4MB,3,3,32,1,0
1654352430590,76,500KB,4,4,33,1,0
1654352430788,134,2MB,4,4,27,1,0
1654352431191,56,1MB,5,5,13,1,0
1654352431396,91,2MB,5,5,18,1,0
1654352431791,132,4MB,6,6,19,1,0
1654352431991,18,500KB,6,6,5,1,0
1654352432390,88,2MB,7,7,15,1,0
1654352432592,44,1MB,7,7,8,1,0
1654352432791,47,500KB,7,7,17,1,0
1654352432988,134,4MB,8,8,18,1,0
1654352433194,15,500KB,8,8,4,1,0
1654352433396,43,500KB,8,8,13,1,0
1654352433586,127,4MB,9,9,12,1,0
1654352433795,19,500KB,9,9,5,1,0
1654352433991,64,1MB,9,9,13,1,0
1654352434189,40,1MB,10,10,9,1,0
1654352434394,64,1MB,10,10,14,1,0
1654352434594,90,2MB,10,10,14,1,0
1654352434789,89,2MB,11,11,12,1,0
1654352434787,126,4MB,11,11,8,1,0
1654352434990,20,500KB,11,11,6,1,0
1654352435195,96,4MB,11,11,7,1,0
1654352435383,47,1MB,12,12,7,1,0
1654352435391,102,4MB,12,12,8,1,0
1654352435589,23,500KB,12,12,5,1,0
1654352435792,90,2MB,12,12,15,1,0
1654352435984,36,500KB,13,13,11,1,0
1654352435992,66,2MB,13,13,13,1,0
1654352436193,28,500KB,13,13,8,1,0
1654352436392,131,4MB,13,13,15,1,0
1654352436590,74,2MB,14,14,5,1,0
1654352436593,110,4MB,14,14,4,1,0
1654352436787,75,2MB,14,14,7,1,0
1654352436789,112,4MB,14,14,5,1,0
1654352436992,35,1MB,14,14,7,1,0
1654352437191,76,1MB,15,15,17,1,0
1654352437194,91,2MB,15,15,10,1,0
1654352437393,46,1MB,15,15,8,1,0
1654352437388,67,2MB,15,15,6,1,0
1654352437586,41,1MB,15,15,6,1,0
1654352437795,74,1MB,16,16,13,1,0
1654352437792,82,1MB,16,16,28,1,0
1654352437989,97,2MB,16,16,9,1,0
1654352437994,132,4MB,16,16,12,1,0
1654352438189,46,2MB,16,16,4,1,0
1654352438391,42,500KB,17,17,8,1,0
1654352438388,118,4MB,17,17,20,1,0
1654352438593,137,4MB,17,17,7,1,0
1654352438593,140,4MB,17,17,8,1,0
1654352438787,21,500KB,17,17,4,1,0
1654352438792,20,500KB,17,17,6,1,0
1654352438989,110,2MB,18,18,13,1,0
1654352438989,150,4MB,18,18,21,1,0
1654352439193,38,1MB,18,18,6,1,0
1654352439192,97,4MB,18,18,3,1,0
1654352439387,139,4MB,18,18,8,1,0
1654352439392,136,4MB,18,18,9,1,0
1654352439588,40,1MB,19,19,6,1,0
1654352439590,60,2MB,19,19,7,1,0
1654352439790,150,4MB,19,19,10,1,0
1654352439792,149,4MB,19,19,15,1,0
1654352439989,80,2MB,19,19,6,1,0
1654352439985,126,4MB,19,19,5,1,0
1654352440190,81,2MB,20,20,6,1,0
1654352440192,119,4MB,20,20,10,1,0
1654352440390,43,1MB,20,20,7,1,0
1654352440387,64,2MB,20,20,5,1,0
