timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654355145117,72,500KB,1,1,39,1,0
1654355145656,148,2MB,2,2,35,1,0
1654355146252,104,1MB,3,3,35,1,0
1654355146855,48,500KB,4,4,16,1,0
1654355147055,219,4MB,4,4,36,1,0
1654355147455,122,4MB,5,5,19,1,0
1654355147659,21,500KB,5,5,6,1,0
1654355148055,90,2MB,6,6,15,1,0
1654355148256,65,2MB,6,6,9,1,0
1654355148656,87,2MB,7,7,16,1,0
1654355148858,102,4MB,7,7,10,1,0
1654355149054,53,2MB,7,7,7,1,0
1654355149254,70,2MB,8,8,15,1,0
1654355149460,69,2MB,8,8,8,1,0
1654355149660,92,4MB,8,8,7,1,0
1654355149850,23,500KB,9,9,8,1,0
1654355150059,46,500KB,9,9,14,1,0
1654355150254,128,4MB,9,9,15,1,0
1654355150453,51,2MB,10,10,6,1,0
1654355150659,21,500KB,10,10,5,1,0
1654355150858,93,2MB,10,10,22,1,0
1654355151050,52,1MB,11,11,10,1,0
1654355151052,73,2MB,11,11,11,1,0
1654355151253,101,4MB,11,11,8,1,0
1654355151454,24,500KB,11,11,6,1,0
1654355151653,38,500KB,12,12,11,1,0
1654355151657,45,1MB,12,12,8,1,0
1654355151854,76,2MB,12,12,13,1,0
1654355152054,105,4MB,12,12,10,1,0
1654355152251,30,500KB,13,13,7,1,0
1654355152252,40,1MB,13,13,8,1,0
1654355152454,33,500KB,13,13,11,1,0
1654355152654,62,1MB,13,13,13,1,0
1654355152850,57,500KB,14,14,18,1,0
1654355152854,69,1MB,14,14,12,1,0
1654355153056,54,500KB,14,14,13,1,0
1654355153054,69,1MB,14,14,15,1,0
1654355153257,35,500KB,14,14,10,1,0
1654355153454,69,1MB,15,15,8,1,0
1654355153454,146,4MB,15,15,21,1,0
1654355153658,39,1MB,15,15,6,1,0
1654355153653,97,4MB,15,15,5,1,0
1654355153849,35,1MB,15,15,6,1,0
1654355154051,49,500KB,16,16,12,1,0
