timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654355477541,91,1MB,1,1,37,1,0
1654355478098,75,500KB,2,2,33,1,0
1654355478695,69,1MB,3,3,22,1,0
1654355479295,314,4MB,4,4,36,1,0
1654355479492,135,2MB,4,4,16,1,0
1654355479897,67,1MB,5,5,21,1,0
1654355480101,102,4MB,5,5,10,1,0
1654355480492,126,4MB,6,6,18,1,0
1654355480698,88,4MB,6,6,5,1,0
1654355481095,129,4MB,7,7,18,1,0
1654355481299,50,2MB,7,7,7,1,0
1654355481497,104,4MB,7,7,9,1,0
1654355481695,33,1MB,8,8,7,1,0
1654355481901,86,2MB,8,8,17,1,0
1654355482097,37,1MB,8,8,7,1,0
1654355482292,115,4MB,9,9,14,1,0
1654355482495,32,1MB,9,9,7,1,0
1654355482699,86,2MB,9,9,15,1,0
1654355482895,103,4MB,10,10,9,1,0
1654355483099,52,2MB,10,10,7,1,0
1654355483298,38,1MB,10,10,7,1,0
1654355483496,55,500KB,11,11,20,1,0
1654355483497,73,1MB,11,11,19,1,0
1654355483700,119,4MB,11,11,12,1,0
1654355483901,87,4MB,11,11,4,1,0
1654355484096,50,1MB,12,12,7,1,0
1654355484101,67,2MB,12,12,7,1,0
1654355484296,38,1MB,12,12,7,1,0
1654355484496,91,2MB,12,12,15,1,0
1654355484697,38,500KB,13,13,12,1,0
1654355484694,55,1MB,13,13,11,1,0
1654355484898,78,2MB,13,13,11,1,0
1654355485099,23,500KB,13,13,7,1,0
1654355485299,56,500KB,14,14,21,1,0
1654355485296,99,2MB,14,14,28,1,0
1654355485495,87,2MB,14,14,7,1,0
1654355485498,122,4MB,14,14,7,1,0
1654355485697,50,2MB,14,14,5,1,0
1654355485896,38,500KB,15,15,9,1,0
1654355485892,74,2MB,15,15,15,1,0
1654355486098,87,2MB,15,15,6,1,0
1654355486100,86,2MB,15,15,9,1,0
1654355486296,56,2MB,15,15,7,1,0
1654355486493,37,500KB,16,16,8,1,0
1654355486496,48,1MB,16,16,17,1,0
1654355486699,55,500KB,16,16,20,1,0
1654355486700,54,500KB,16,16,15,1,0
1654355486898,44,500KB,16,16,15,1,0
1654355487097,82,1MB,17,17,17,1,0
1654355487094,148,4MB,17,17,30,1,0
1654355487299,25,500KB,17,17,4,1,0
1654355487300,92,4MB,17,17,10,1,0
1654355487498,31,500KB,17,17,8,1,0
1654355487496,99,4MB,17,17,6,1,0
1654355487699,29,500KB,18,18,6,1,0
1654355487697,42,1MB,18,18,10,1,0
1654355487892,66,1MB,18,18,9,1,0
1654355487899,81,2MB,18,18,17,1,0
1654355488099,34,500KB,18,18,9,1,0
1654355488102,32,500KB,18,18,9,1,0
1654355488296,38,500KB,19,19,8,1,0
1654355488293,117,4MB,19,19,17,1,0
1654355488497,39,1MB,19,19,4,1,0
1654355488499,100,4MB,19,19,5,1,0
1654355488699,69,2MB,19,19,5,1,0
1654355488696,109,4MB,19,19,5,1,0
1654355488895,37,1MB,20,20,5,1,0
1654355488892,98,4MB,20,20,5,1,0
1654355489098,68,2MB,20,20,5,1,0
1654355489100,110,4MB,20,20,7,1,0
1654355489298,22,500KB,20,20,3,1,0
1654355489299,52,2MB,20,20,5,1,0
1654355489498,26,500KB,21,21,3,1,0
1654355489496,30,500KB,21,21,8,1,0
1654355489499,58,2MB,21,21,9,1,0
1654355489700,22,500KB,21,21,6,1,0
1654355489700,32,1MB,21,21,7,1,0
1654355489893,21,500KB,21,21,5,1,0
1654355489899,19,500KB,21,21,3,1,0
1654355490092,23,500KB,22,22,5,1,0
1654355490098,42,1MB,22,22,5,1,0
1654355490100,104,4MB,22,22,6,1,0
1654355490297,20,500KB,22,22,4,1,0
1654355490297,52,2MB,22,22,4,1,0
1654355490500,23,500KB,22,22,5,1,0
1654355490497,53,2MB,22,22,4,1,0
1654355490694,96,2MB,23,23,5,1,0
1654355490697,96,2MB,23,23,6,1,0
1654355490697,139,4MB,23,23,9,1,0
1654355490899,19,500KB,23,23,5,1,0
1654355490896,30,1MB,23,23,4,1,0
1654355491099,22,500KB,23,23,7,1,0
1654355491093,33,1MB,23,23,4,1,0
1654355491297,47,1MB,24,24,5,1,0
1654355491299,48,1MB,24,24,8,1,0
1654355491296,107,4MB,24,24,7,1,0
1654355491496,48,1MB,24,24,4,1,0
1654355491498,80,2MB,24,24,7,1,0
1654355491499,121,4MB,24,24,7,1,0
1654355491698,23,500KB,24,24,7,1,0
1654355491698,93,4MB,24,24,4,1,0
1654355491896,54,1MB,25,25,8,1,0
1654355491894,147,4MB,25,25,5,1,0
1654355491897,146,4MB,25,25,6,1,0
1654355492098,100,2MB,25,25,5,1,0
1654355492091,164,4MB,25,25,5,1,0
1654355492099,161,4MB,25,25,5,1,0
1654355492294,36,1MB,25,25,4,1,0
1654355492296,62,2MB,25,25,4,1,0
1654355492496,22,500KB,26,26,4,1,0
1654355492496,76,2MB,26,26,8,1,0
1654355492499,73,2MB,26,26,5,1,0
1654355492696,23,500KB,26,26,4,1,0
1654355492697,43,1MB,26,26,10,1,0
1654355492697,61,2MB,26,26,6,1,0
1654355492896,38,1MB,26,26,6,1,0
1654355492894,59,2MB,26,26,5,1,0
1654355493096,25,500KB,27,27,3,1,0
1654355493094,78,2MB,27,27,7,1,0
1654355493100,73,2MB,27,27,5,1,0
1654355493300,52,1MB,27,27,9,1,0
1654355493300,147,4MB,27,27,4,1,0
1654355493300,149,4MB,27,27,7,1,0
1654355493496,27,500KB,27,27,5,1,0
1654355493498,74,2MB,27,27,7,1,0
1654355493498,111,4MB,27,27,6,1,0
1654355493696,100,2MB,28,28,10,1,0
1654355493700,97,2MB,28,28,9,1,0
1654355493700,98,2MB,28,28,13,1,0
1654355493897,62,1MB,28,28,12,1,0
1654355493897,147,4MB,28,28,8,1,0
1654355493900,147,4MB,28,28,13,1,0
1654355494098,37,500KB,28,28,11,1,0
1654355494092,51,1MB,28,28,7,1,0
1654355494100,103,4MB,28,28,12,1,0
1654355494297,36,500KB,29,29,13,1,0
1654355494297,51,1MB,29,29,7,1,0
1654355494296,109,4MB,29,29,10,1,0
1654355494498,37,500KB,29,29,12,1,0
1654355494496,139,4MB,29,29,6,1,0
1654355494496,140,4MB,29,29,9,1,0
1654355494699,33,500KB,29,29,11,1,0
1654355494699,36,500KB,29,29,12,1,0
1654355494699,101,4MB,29,29,5,1,0
1654355494895,33,500KB,30,30,9,1,0
1654355494899,79,2MB,30,30,11,1,0
1654355494893,122,4MB,30,30,8,1,0
1654355495098,33,500KB,30,30,8,1,0
1654355495098,49,1MB,30,30,12,1,0
1654355495098,50,1MB,30,30,9,1,0
1654355495300,58,1MB,30,30,8,1,0
1654355495300,59,1MB,30,30,14,1,0
1654355495300,77,2MB,30,30,12,1,0
1654355495499,54,500KB,31,31,20,1,0
1654355495499,71,1MB,31,31,9,1,0
1654355495498,100,2MB,31,31,6,1,0
1654355495496,105,2MB,31,31,27,1,0
1654355495700,60,1MB,31,31,10,1,0
1654355495700,146,4MB,31,31,8,1,0
1654355495700,148,4MB,31,31,15,1,0
1654355495896,30,500KB,31,31,5,1,0
1654355495896,74,2MB,31,31,7,1,0
1654355495899,109,4MB,31,31,7,1,0
1654355496098,72,1MB,32,32,7,1,0
1654355496097,75,1MB,32,32,15,1,0
1654355496096,101,2MB,32,32,6,1,0
1654355496096,105,2MB,32,32,16,1,0
1654355496296,39,500KB,32,32,18,1,0
1654355496296,78,2MB,32,32,6,1,0
1654355496296,113,4MB,32,32,10,1,0
1654355496497,35,500KB,32,32,10,1,0
1654355496497,37,500KB,32,32,11,1,0
1654355496497,101,4MB,32,32,7,1,0
1654355496698,70,1MB,33,33,8,1,0
1654355496699,69,1MB,33,33,10,1,0
1654355496696,100,2MB,33,33,7,1,0
1654355496699,101,2MB,33,33,17,1,0
1654355496891,36,500KB,33,33,6,1,0
1654355496893,38,500KB,33,33,9,1,0
1654355496897,118,4MB,33,33,6,1,0
1654355497095,30,500KB,33,33,5,1,0
1654355497098,36,500KB,33,33,13,1,0
1654355497099,45,1MB,33,33,17,1,0
1654355497297,40,500KB,34,34,7,1,0
1654355497298,42,500KB,34,34,12,1,0
1654355497297,81,2MB,34,34,5,1,0
1654355497296,126,4MB,34,34,19,1,0
1654355497496,63,1MB,34,34,5,1,0
1654355497500,69,1MB,34,34,13,1,0
1654355497500,69,1MB,34,34,9,1,0
1654355497496,131,4MB,34,34,9,1,0
1654355497695,67,1MB,34,34,6,1,0
1654355497699,66,1MB,34,34,9,1,0
1654355497699,90,2MB,34,34,17,1,0
1654355497894,51,500KB,35,35,17,1,0
1654355497891,67,1MB,35,35,6,1,0
1654355497897,66,1MB,35,35,12,1,0
1654355497899,87,2MB,35,35,16,1,0
1654355498100,51,500KB,35,35,15,1,0
1654355498100,68,1MB,35,35,11,1,0
1654355498100,104,2MB,35,35,19,1,0
1654355498097,140,4MB,35,35,9,1,0
1654355498293,30,500KB,35,35,5,1,0
1654355498299,29,500KB,35,35,9,1,0
1654355498295,98,4MB,35,35,7,1,0
1654355498497,79,1MB,36,36,10,1,0
1654355498497,89,1MB,36,36,23,1,0
1654355498493,116,2MB,36,36,11,1,0
1654355498495,155,4MB,36,36,18,1,0
1654355498698,47,500KB,36,36,11,1,0
1654355498700,71,1MB,36,36,15,1,0
1654355498698,158,4MB,36,36,7,1,0
1654355498698,160,4MB,36,36,16,1,0
1654355498900,28,500KB,36,36,9,1,0
1654355498896,43,1MB,36,36,6,1,0
1654355498896,103,4MB,36,36,4,1,0
