timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654356141797,242,4MB,1,1,42,1,0
1654356142355,83,500KB,2,2,41,1,0
1654356142955,105,1MB,3,3,35,1,0
1654356143551,65,1MB,4,4,20,1,0
1654356143754,67,1MB,4,4,14,1,0
1654356144151,129,4MB,5,5,16,1,0
1654356144358,88,4MB,5,5,5,1,0
1654356144750,48,1MB,6,6,11,1,0
1654356144954,140,2MB,6,6,26,1,0
1654356145355,131,4MB,7,7,18,1,0
1654356145556,88,4MB,7,7,5,1,0
1654356145753,54,2MB,7,7,8,1,0
1654356145954,68,2MB,8,8,12,1,0
1654356146154,42,1MB,8,8,7,1,0
1654356146356,65,1MB,8,8,16,1,0
1654356146551,123,4MB,9,9,11,1,0
1654356146755,91,4MB,9,9,7,1,0
1654356146958,99,4MB,9,9,7,1,0
1654356147152,25,500KB,10,10,8,1,0
1654356147358,64,1MB,10,10,19,1,0
1654356147554,47,500KB,10,10,14,1,0
1654356147752,52,500KB,11,11,10,1,0
1654356147751,71,1MB,11,11,24,1,0
1654356147957,58,1MB,11,11,11,1,0
1654356148149,90,2MB,11,11,17,1,0
1654356148353,39,500KB,12,12,10,1,0
1654356148355,68,2MB,12,12,11,1,0
1654356148553,66,2MB,12,12,8,1,0
1654356148755,68,2MB,12,12,9,1,0
1654356148953,37,500KB,13,13,6,1,0
1654356148952,71,2MB,13,13,13,1,0
1654356149155,42,1MB,13,13,7,1,0
1654356149358,91,2MB,13,13,15,1,0
1654356149551,88,2MB,14,14,10,1,0
1654356149554,88,2MB,14,14,15,1,0
1654356149749,31,500KB,14,14,7,1,0
1654356149751,30,500KB,14,14,9,1,0
1654356149954,129,4MB,14,14,15,1,0
1654356150146,25,500KB,15,15,6,1,0
1654356150149,24,500KB,15,15,5,1,0
1654356150354,59,500KB,15,15,20,1,0
1654356150356,69,1MB,15,15,16,1,0
1654356150552,38,500KB,15,15,11,1,0
1654356150750,52,500KB,16,16,12,1,0
1654356150753,92,2MB,16,16,19,1,0
1654356150954,32,500KB,16,16,9,1,0
1654356150954,48,1MB,16,16,11,1,0
1654356151156,79,2MB,16,16,11,1,0
1654356151356,36,500KB,17,17,11,1,0
1654356151353,73,2MB,17,17,17,1,0
1654356151556,37,500KB,17,17,6,1,0
1654356151555,39,500KB,17,17,12,1,0
1654356151749,70,1MB,17,17,14,1,0
1654356151750,130,4MB,17,17,15,1,0
1654356151954,25,500KB,18,18,5,1,0
1654356151958,24,500KB,18,18,11,1,0
1654356152149,81,1MB,18,18,20,1,0
1654356152150,135,4MB,18,18,11,1,0
1654356152358,42,1MB,18,18,8,1,0
1654356152356,61,2MB,18,18,7,1,0
1654356152555,58,1MB,19,19,9,1,0
1654356152554,61,1MB,19,19,15,1,0
1654356152755,44,500KB,19,19,13,1,0
1654356152756,113,4MB,19,19,8,1,0
1654356152958,77,2MB,19,19,5,1,0
1654356152957,117,4MB,19,19,8,1,0
1654356153152,27,500KB,20,20,8,1,0
1654356153156,94,4MB,20,20,7,1,0
1654356153359,34,500KB,20,20,8,1,0
1654356153359,62,2MB,20,20,6,1,0
1654356153553,57,1MB,20,20,8,1,0
1654356153553,76,2MB,20,20,10,1,0
1654356153751,112,2MB,21,21,8,1,0
1654356153753,111,2MB,21,21,9,1,0
1654356153752,153,4MB,21,21,17,1,0
1654356153956,66,2MB,21,21,6,1,0
1654356153952,113,4MB,21,21,4,1,0
1654356154152,68,2MB,21,21,4,1,0
1654356154150,71,2MB,21,21,5,1,0
1654356154348,91,2MB,22,22,6,1,0
1654356154358,95,2MB,22,22,8,1,0
1654356154354,131,4MB,22,22,4,1,0
1654356154554,27,500KB,22,22,7,1,0
1654356154550,35,1MB,22,22,5,1,0
1654356154755,43,500KB,22,22,10,1,0
1654356154759,111,4MB,22,22,12,1,0
1654356154953,36,500KB,23,23,6,1,0
1654356154955,35,500KB,23,23,6,1,0
1654356154955,43,1MB,23,23,9,1,0
1654356155157,63,1MB,23,23,10,1,0
1654356155157,64,1MB,23,23,16,1,0
1654356155359,63,1MB,23,23,14,1,0
1654356155356,122,4MB,23,23,11,1,0
1654356155553,37,500KB,24,24,12,1,0
1654356155551,143,4MB,24,24,6,1,0
1654356155553,143,4MB,24,24,7,1,0
1654356155757,34,500KB,24,24,8,1,0
1654356155756,48,1MB,24,24,8,1,0
1654356155754,108,4MB,24,24,6,1,0
1654356155956,28,500KB,24,24,8,1,0
1654356155955,39,1MB,24,24,6,1,0
1654356156153,57,500KB,25,25,18,1,0
1654356156153,80,1MB,25,25,23,1,0
1654356156152,135,4MB,25,25,10,1,0
1654356156353,30,500KB,25,25,5,1,0
1654356156356,137,4MB,25,25,8,1,0
1654356156357,137,4MB,25,25,9,1,0
1654356156550,72,2MB,25,25,4,1,0
1654356156553,70,2MB,25,25,6,1,0
1654356156749,61,1MB,26,26,8,1,0
1654356156755,59,1MB,26,26,9,1,0
