timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654354415379,109,1MB,1,1,38,1,0
1654354415929,141,2MB,2,2,32,1,0
1654354416528,62,1MB,3,3,15,1,0
1654354417129,40,500KB,4,4,17,1,0
1654354417329,18,500KB,4,4,6,1,0
1654354417728,45,1MB,5,5,9,1,0
1654354417931,20,500KB,5,5,6,1,0
1654354418326,81,2MB,6,6,17,1,0
1654354418531,198,4MB,6,6,12,1,0
1654354418928,27,500KB,7,7,10,1,0
1654354419132,41,1MB,7,7,9,1,0
1654354419326,101,4MB,7,7,8,1,0
1654354419528,48,2MB,8,8,6,1,0
1654354419729,44,2MB,8,8,4,1,0
1654354419933,28,1MB,8,8,4,1,0
1654354420125,50,2MB,9,9,7,1,0
1654354420325,28,1MB,9,9,5,1,0
1654354420528,51,2MB,9,9,5,1,0
1654354420727,83,4MB,10,10,5,1,0
1654354420929,28,1MB,10,10,5,1,0
1654354421130,91,4MB,10,10,7,1,0
1654354421330,70,2MB,11,11,5,1,0
1654354421329,113,4MB,11,11,11,1,0
1654354421532,21,500KB,11,11,8,1,0
1654354421732,84,4MB,11,11,5,1,0
1654354421928,41,1MB,12,12,6,1,0
1654354421931,98,4MB,12,12,5,1,0
1654354422129,29,1MB,12,12,5,1,0
1654354422330,89,4MB,12,12,7,1,0
1654354422527,24,500KB,13,13,5,1,0
1654354422532,22,500KB,13,13,6,1,0
1654354422732,55,2MB,13,13,6,1,0
1654354422932,65,2MB,13,13,8,1,0
1654354423129,23,500KB,14,14,6,1,0
1654354423131,53,2MB,14,14,7,1,0
1654354423330,21,500KB,14,14,7,1,0
1654354423326,52,2MB,14,14,4,1,0
1654354423529,29,1MB,14,14,5,1,0
1654354423727,27,500KB,15,15,8,1,0
1654354423726,39,1MB,15,15,11,1,0
1654354423930,81,2MB,15,15,9,1,0
1654354423929,119,4MB,15,15,8,1,0
1654354424125,15,500KB,15,15,5,1,0
1654354424327,37,500KB,16,16,9,1,0
1654354424330,107,4MB,16,16,12,1,0
1654354424531,67,2MB,16,16,6,1,0
1654354424531,105,4MB,16,16,4,1,0
1654354424729,15,500KB,16,16,4,1,0
1654354424929,41,1MB,17,17,8,1,0
1654354424929,99,4MB,17,17,6,1,0
1654354425133,23,500KB,17,17,5,1,0
1654354425134,51,2MB,17,17,6,1,0
1654354425326,18,500KB,17,17,4,1,0
1654354425330,51,2MB,17,17,6,1,0
1654354425528,76,2MB,18,18,7,1,0
1654354425528,115,4MB,18,18,5,1,0
1654354425728,18,500KB,18,18,5,1,0
1654354425730,88,4MB,18,18,7,1,0
1654354425931,68,2MB,18,18,8,1,0
1654354425928,108,4MB,18,18,5,1,0
1654354426128,67,2MB,19,19,6,1,0
1654354426128,106,4MB,19,19,3,1,0
1654354426331,39,1MB,19,19,5,1,0
1654354426328,104,4MB,19,19,4,1,0
1654354426528,35,1MB,19,19,5,1,0
1654354426526,53,2MB,19,19,5,1,0
1654354426731,37,1MB,20,20,4,1,0
1654354426730,57,2MB,20,20,6,1,0
1654354426927,27,500KB,20,20,9,1,0
1654354426927,28,500KB,20,20,11,1,0
1654354427127,47,1MB,20,20,7,1,0
1654354427129,46,1MB,20,20,8,1,0
1654354427331,48,1MB,21,21,6,1,0
1654354427327,54,1MB,21,21,10,1,0
1654354427325,113,4MB,21,21,5,1,0
1654354427532,42,1MB,21,21,4,1,0
1654354427532,69,2MB,21,21,6,1,0
1654354427728,34,1MB,21,21,4,1,0
1654354427729,55,2MB,21,21,5,1,0
1654354427928,30,500KB,22,22,9,1,0
1654354427928,30,500KB,22,22,7,1,0
1654354427926,97,4MB,22,22,6,1,0
1654354428128,22,500KB,22,22,5,1,0
1654354428126,92,4MB,22,22,5,1,0
1654354428326,25,500KB,22,22,5,1,0
1654354428329,54,2MB,22,22,8,1,0
1654354428530,47,1MB,23,23,4,1,0
1654354428528,136,4MB,23,23,4,1,0
1654354428527,138,4MB,23,23,6,1,0
1654354428734,21,500KB,23,23,5,1,0
1654354428730,91,4MB,23,23,3,1,0
1654354428928,72,2MB,23,23,6,1,0
1654354428928,74,2MB,23,23,9,1,0
1654354429129,33,500KB,24,24,9,1,0
1654354429128,80,2MB,24,24,5,1,0
1654354429132,121,4MB,24,24,8,1,0
1654354429329,24,500KB,24,24,5,1,0
1654354429327,42,1MB,24,24,6,1,0
1654354429327,60,2MB,24,24,5,1,0
1654354429528,24,500KB,24,24,7,1,0
1654354429528,93,4MB,24,24,4,1,0
1654354429725,32,500KB,25,25,10,1,0
1654354429729,81,2MB,25,25,9,1,0
1654354429725,131,4MB,25,25,4,1,0
