timeStamp,elapsed,label,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1654353434425,46,500KB,1,1,23,1,0
1654353434982,126,2MB,2,2,24,1,0
1654353435578,71,2MB,3,3,15,1,0
1654353436176,85,1MB,4,4,26,1,0
1654353436380,186,4MB,4,4,13,1,0
1654353436780,33,1MB,5,5,8,1,0
1654353436986,22,500KB,5,5,8,1,0
1654353437378,33,500KB,6,6,8,1,0
1654353437578,110,4MB,6,6,10,1,0
1654353437979,43,1MB,7,7,11,1,0
1654353438181,98,4MB,7,7,7,1,0
1654353438377,32,1MB,7,7,5,1,0
1654353438578,55,2MB,8,8,8,1,0
1654353438784,17,500KB,8,8,5,1,0
1654353438984,32,1MB,8,8,6,1,0
1654353439179,92,4MB,9,9,7,1,0
1654353439381,47,2MB,9,9,6,1,0
1654353439580,29,1MB,9,9,4,1,0
1654353439776,48,2MB,10,10,5,1,0
1654353439977,96,4MB,10,10,5,1,0
1654353440176,45,2MB,10,10,4,1,0
1654353440379,66,2MB,11,11,7,1,0
1654353440376,70,2MB,11,11,6,1,0
1654353440579,91,4MB,11,11,5,1,0
1654353440779,47,2MB,11,11,4,1,0
1654353440977,41,1MB,12,12,7,1,0
1654353440980,99,4MB,12,12,4,1,0
1654353441180,22,500KB,12,12,6,1,0
1654353441380,95,4MB,12,12,7,1,0
1654353441575,26,500KB,13,13,6,1,0
1654353441575,37,1MB,13,13,10,1,0
1654353441779,22,500KB,13,13,6,1,0
1654353441977,21,500KB,13,13,6,1,0
1654353442175,26,500KB,14,14,5,1,0
1654353442176,41,1MB,14,14,9,1,0
1654353442378,30,500KB,14,14,9,1,0
1654353442378,94,4MB,14,14,5,1,0
1654353442581,16,500KB,14,14,4,1,0
1654353442774,153,4MB,15,15,6,1,0
1654353442782,150,4MB,15,15,8,1,0
1654353442978,19,500KB,15,15,4,1,0
1654353442983,48,2MB,15,15,6,1,0
1654353443183,43,2MB,15,15,4,1,0
1654353443380,45,1MB,16,16,8,1,0
1654353443378,104,4MB,16,16,7,1,0
1654353443578,126,4MB,16,16,5,1,0
1654353443578,130,4MB,16,16,9,1,0
1654353443776,27,1MB,16,16,4,1,0
1654353443976,33,500KB,17,17,10,1,0
1654353443978,59,2MB,17,17,5,1,0
1654353444178,30,500KB,17,17,11,1,0
1654353444174,121,4MB,17,17,5,1,0
1654353444378,54,1MB,17,17,8,1,0
1654353444375,117,4MB,17,17,7,1,0
1654353444576,39,1MB,18,18,5,1,0
1654353444578,61,2MB,18,18,7,1,0
1654353444778,26,500KB,18,18,6,1,0
1654353444778,62,2MB,18,18,7,1,0
1654353444979,46,1MB,18,18,8,1,0
1654353444981,64,2MB,18,18,6,1,0
1654353445174,34,500KB,19,19,8,1,0
1654353445180,44,1MB,19,19,18,1,0
1654353445379,33,500KB,19,19,9,1,0
1654353445378,103,4MB,19,19,6,1,0
1654353445577,22,500KB,19,19,7,1,0
1654353445575,34,1MB,19,19,5,1,0
1654353445778,45,1MB,20,20,9,1,0
1654353445778,105,4MB,20,20,6,1,0
1654353445975,72,2MB,20,20,4,1,0
1654353445978,127,4MB,20,20,8,1,0
1654353446178,38,500KB,20,20,12,1,0
1654353446176,68,2MB,20,20,12,1,0
1654353446378,34,500KB,21,21,10,1,0
1654353446378,47,1MB,21,21,9,1,0
1654353446374,110,4MB,21,21,8,1,0
1654353446580,37,1MB,21,21,7,1,0
1654353446578,96,4MB,21,21,4,1,0
1654353446776,40,1MB,21,21,5,1,0
1654353446781,96,4MB,21,21,9,1,0
1654353446980,31,500KB,22,22,11,1,0
1654353446976,49,1MB,22,22,9,1,0
1654353446980,104,4MB,22,22,6,1,0
1654353447179,29,500KB,22,22,13,1,0
1654353447179,62,2MB,22,22,6,1,0
1654353447380,34,1MB,22,22,5,1,0
1654353447380,57,2MB,22,22,7,1,0
1654353447575,94,2MB,23,23,5,1,0
1654353447577,105,2MB,23,23,11,1,0
1654353447572,143,4MB,23,23,7,1,0
1654353447778,69,2MB,23,23,6,1,0
1654353447777,109,4MB,23,23,4,1,0
1654353447978,24,500KB,23,23,10,1,0
1654353447978,33,1MB,23,23,7,1,0
1654353448176,47,1MB,24,24,5,1,0
